entA	entB	We
1739	2906	1
1739	5791	1
1739	50807	1
1739	23095	1
1739	2902	1
1739	3845	1
1739	10458	1
1739	6331	1
1739	7430	1
1739	9229	1
1739	8573	1
1739	1501	1
1739	2895	1
1739	999	1
1739	2890	1
1739	3192	1
1739	8502	1
1739	3916	1
1739	4897	1
1739	491	1
1739	60412	1
1739	9922	1
1739	6505	1
1741	19	1
1741	2904	1
1741	2906	1
1741	2902	1
1741	3845	1
1741	10458	1
1741	57555	1
1741	54413	1
1741	9229	1
1741	7458	1
1741	60412	1
1741	8831	1
1741	6202	1
7334	7336	1
7334	9131	1
7334	51283	1
7334	55611	1
7334	112401	1
7334	7316	1
7334	7335	1
7334	7317	1
7334	93664	1
7431	1400	1
7431	4747	1
7431	5682	1
7431	2932	1
7431	293	1
7431	26135	1
7431	6612	1
7431	6853	1
7431	8848	1
7431	27229	1
7431	2670	1
7431	10900	1
7431	22866	1
7431	1832	1
7431	25828	1
7431	7295	1
7431	310	1
7431	6194	1
7431	3856	1
7431	271	1
7431	4741	1
7431	5705	1
7431	84289	1
7431	9475	1
7431	8495	1
7431	9729	1
7431	79682	1
7431	84790	1
7431	8831	1
10254	5799	1
10254	29979	1
10254	7323	1
10254	7316	1
10254	25930	1
10254	3937	1
10254	1678	1
10254	3916	1
10254	55274	1
667	4747	1
667	2932	1
667	1639	1
667	5062	1
667	23043	1
667	26060	1
667	6812	1
667	22919	1
667	7430	1
667	27063	1
667	999	1
667	6128	1
667	477	1
667	70	1
667	56993	1
667	3916	1
667	9804	1
667	4744	1
667	988	1
375	1937	1
375	23647	1
375	50807	1
375	3845	1
375	29066	1
375	1315	1
375	55738	1
375	116986	1
375	116987	1
375	9266	1
29924	161	1
29924	1400	1
29924	6453	1
29924	8301	1
161	3064	1
161	163	1
161	6453	1
161	1213	1
161	54413	1
161	1175	1
161	6712	1
161	8867	1
5063	998	1
5063	8874	1
5063	5879	1
4130	3778	1
4130	388	1
4130	5339	1
28964	3064	1
28964	5305	1
28964	8497	1
28964	8874	1
28964	81565	1
28964	8499	1
28964	27445	1
28964	3692	1
28964	8541	1
28964	79682	1
1400	3064	1
1400	2801	1
1400	1936	1
1400	5050	1
1400	5717	1
1400	25843	1
1400	10399	1
1400	217	1
1400	8848	1
1400	10570	1
1400	57142	1
1400	7415	1
1400	6714	1
1400	3146	1
1400	773	1
1400	5216	1
1400	1808	1
1400	51776	1
1400	310	1
1400	7311	1
1400	51726	1
1400	1809	1
1400	7846	1
1400	4729	1
1400	26985	1
1400	3336	1
1400	55755	1
1400	55512	1
1937	1891	1
1937	5802	1
1937	5792	1
1937	998	1
1937	2932	1
1937	1936	1
1937	10382	1
1937	5717	1
1937	11165	1
1937	6284	1
1937	10381	1
1937	10768	1
1937	999	1
1937	6124	1
1937	3006	1
1937	70	1
1937	55848	1
1937	55755	1
1937	9446	1
1937	79902	1
1891	3064	1
1891	2801	1
1891	5682	1
1891	1936	1
1891	5050	1
1891	9131	1
1891	29066	1
1891	6194	1
1891	80184	1
1891	3098	1
1891	5163	1
1891	9662	1
1891	56993	1
1891	8766	1
1891	9804	1
1891	84987	1
1891	94081	1
1891	55848	1
10989	1915	1
10989	213	1
10989	4715	1
10989	7251	1
10989	81565	1
10989	5160	1
10989	9659	1
10989	9131	1
10989	11140	1
10989	10426	1
10989	80007	1
10989	4259	1
10989	1327	1
10989	22948	1
10989	4134	1
10989	56993	1
10989	9804	1
10989	84987	1
10989	94081	1
10989	55848	1
10989	5481	1
3064	5315	1
3064	5695	1
3064	5217	1
3064	2597	1
3064	10540	1
3064	6622	1
3064	1499	1
3064	3146	1
3064	9093	1
3064	10458	1
3064	51466	1
3064	1315	1
3064	7430	1
3064	128866	1
3064	23380	1
3064	152789	1
3064	120	1
3064	1778	1
3064	3329	1
3064	63908	1
3064	55735	1
3064	84289	1
3064	6124	1
3064	5164	1
3064	9901	1
3064	8462	1
3064	5064	1
3064	8239	1
3064	8065	1
4747	9463	1
4747	2801	1
4747	2670	1
4747	3866	1
4747	23043	1
4747	9659	1
4747	23281	1
4747	5901	1
4747	29922	1
4747	55170	1
4747	3860	1
4747	4741	1
4747	55755	1
3306	10808	1
3306	3312	1
3306	5708	1
1627	2273	1
1627	11165	1
1627	7178	1
1627	2697	1
1627	7323	1
1627	999	1
1627	70	1
1627	9910	1
2316	2534	1
2316	6714	1
2316	25	1
2316	1398	1
2316	5567	1
2316	54413	1
2316	3326	1
2316	4000	1
2316	5604	1
2316	3310	1
2316	999	1
2316	818	1
2316	27145	1
2316	7204	1
2316	675	1
2316	91662	1
2194	7316	1
2194	4000	1
2194	999	1
1174	9463	1
1174	162	1
1174	164	1
2048	4301	1
2048	9463	1
2048	6714	1
2048	25	1
9369	4301	1
9369	8573	1
9369	80331	1
4301	22800	1
4301	6714	1
4301	3845	1
4301	9378	1
4301	5216	1
4301	5906	1
4301	999	1
3556	5789	1
3556	54472	1
4478	3845	1
4478	6336	1
4478	7430	1
4478	9448	1
4478	9368	1
5315	5594	1
5315	274	1
5315	5595	1
5315	7316	1
5315	29066	1
5315	310	1
5315	999	1
5315	5427	1
5315	5908	1
22800	5910	1
9463	5682	1
9463	5050	1
9463	26135	1
9463	5601	1
9463	22924	1
9463	6531	1
9463	2893	1
9463	2395	1
9463	5582	1
9463	81565	1
9463	6711	1
9463	5037	1
9463	57555	1
9463	5578	1
9463	29922	1
9463	221184	1
9463	81892	1
9463	54550	1
9463	9852	1
9463	92840	1
9463	56904	1
9463	80184	1
9463	11077	1
9463	463	1
9463	6627	1
9463	51760	1
9463	7458	1
9463	8907	1
9463	79169	1
9463	90799	1
9463	93974	1
9463	1984	1
9463	7869	1
9463	2898	1
9463	2913	1
9463	1947	1
9463	5534	1
163	1173	1
163	6453	1
163	293	1
163	1213	1
163	27229	1
163	10053	1
163	23396	1
163	25828	1
163	8907	1
163	80331	1
163	25977	1
163	1175	1
163	9550	1
163	9729	1
163	55707	1
1173	10900	1
1173	6146	1
1173	773	1
1173	162	1
1173	79169	1
1173	361	1
1173	8343	1
1173	1175	1
1173	92255	1
51747	5781	1
6453	23647	1
6453	998	1
6453	5781	1
6453	1915	1
6453	3798	1
6453	1213	1
6453	27131	1
6453	7251	1
6453	8499	1
6453	4155	1
6453	23281	1
6453	7430	1
6453	51776	1
6453	8301	1
6453	9229	1
6453	338785	1
6453	3848	1
6453	5144	1
6453	382	1
6453	5868	1
6453	9522	1
6453	1783	1
6453	8853	1
6453	7461	1
392	998	1
392	387	1
392	3845	1
392	5879	1
392	821	1
392	57460	1
392	999	1
392	3916	1
392	1783	1
10188	998	1
10188	4734	1
10188	5062	1
10188	2017	1
10188	3326	1
10188	6142	1
19	1740	1
19	55327	1
19	25814	1
19	6645	1
19	8825	1
19	8777	1
19	6390	1
2904	2534	1
2904	88	1
2904	1740	1
2904	2902	1
2904	5582	1
2904	817	1
2904	23513	1
2904	5578	1
2904	5579	1
2904	818	1
5499	23228	1
5499	5594	1
5499	1213	1
5499	6421	1
5499	1639	1
5499	1454	1
5499	4137	1
5499	5501	1
5499	1398	1
5499	5595	1
5499	1267	1
5499	29066	1
5499	221692	1
5499	11331	1
5499	5579	1
5499	5837	1
5499	1152	1
5499	114569	1
5499	5529	1
5499	5202	1
5499	9448	1
5499	999	1
5499	8864	1
5499	2890	1
5499	11228	1
5499	116143	1
5499	6500	1
5499	55210	1
5499	84687	1
5499	57821	1
5499	988	1
5499	5510	1
5499	908	1
23228	23043	1
2801	23647	1
2801	6262	1
2801	5781	1
2801	10627	1
2801	5682	1
2801	5685	1
2801	25843	1
2801	5861	1
2801	29888	1
2801	10094	1
2801	3854	1
2801	27229	1
2801	149371	1
2801	2670	1
2801	3853	1
2801	8615	1
2801	81565	1
2801	11140	1
2801	11091	1
2801	4628	1
2801	1329	1
2801	1641	1
2801	3937	1
2801	9961	1
2801	29922	1
2801	11033	1
2801	1152	1
2801	58155	1
2801	3927	1
2801	116841	1
2801	10529	1
2801	11151	1
2801	286887	1
